,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1num_kernels100_max_alpha5,100,5,0,0.21125729879756594,7.91894378369479,2.8140617945764426,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split0.pdf,7.717035973444581,0
1,ID1num_kernels100_max_alpha5,100,5,1,0.16882051242297402,8.442211286650615,2.9055483624697445,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split1.pdf,30.313716942444444,0
2,ID1num_kernels100_max_alpha5,100,5,2,0.16192244640493914,8.463511153490664,2.9092114315550637,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split2.pdf,27.646417908370495,0
3,ID1num_kernels100_max_alpha5,100,5,3,0.17932750089816318,8.076846351620683,2.8419793017579638,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split3.pdf,26.92851689271629,0
4,ID1num_kernels100_max_alpha5,100,5,4,0.2338529570050899,8.090056721205425,2.8443025017050183,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split4.pdf,28.02765046618879,0
5,ID2num_kernels100_max_alpha10,100,10,0,0.1990555214955947,7.41278238752647,2.7226425375958683,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split0.pdf,27.210872922092676,0
6,ID2num_kernels100_max_alpha10,100,10,1,0.14910877634870956,9.462716332956768,3.0761528461630068,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split1.pdf,30.512253504246473,0
7,ID2num_kernels100_max_alpha10,100,10,2,0.13943296267927696,8.68950605059409,2.9477968129764456,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split2.pdf,30.698221063241363,0
8,ID2num_kernels100_max_alpha10,100,10,3,0.2099034866626962,8.039721002547894,2.835440177917336,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split3.pdf,21.05228693038225,0
9,ID2num_kernels100_max_alpha10,100,10,4,0.23040187305180426,7.746905182500553,2.7833262802805843,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split4.pdf,28.473284987732768,0
